GeneSymbol
AARS1
ABCA12
ABCB6
ABCC1
ABCC9
ACTA2
ACTC1
ACTG1
ACTG2
ACTN1
ACTN2
ADH1C
AGK
AGRN
AIFM1
ALDH1A3
ALG14
ALG2
ALOX12B
ALOXE3
ALS2
ALX4
AMPD2
ANG
ANO3
ANO6
ANXA11
AP1S3
APC
APOA5
ARL6
ATF6
ATP13A2
ATP1A1
ATP1A3
ATP6V0A4
ATP6V1B1
ATXN2
ATXN8OS
BAG3
BBIP1
BBS1
BBS10
BBS12
BBS2
BBS4
BBS5
BBS7
BBS9
BCOR
BFSP1
BFSP2
BMP15
BMP4
BNC1
C3
C8orf37
C9orf72
CACNA1C
CACNB2
CALM1
CALM3
CASP14
CASQ2
CCDC28B
CCDC50
CD164
CD36
CD46
CDAN1
CDIN1
CDKN1C
CEACAM16
CEP290
CERS3
CFB
CFH
CFHR1
CFHR3
CFI
CHAT
CHCHD10
CHCHD2
CHD7
CHMP1A
CHMP2B
CHMP4B
CHRNA1
CHRNB1
CHRND
CHRNE
CLP1
CNGA3
CNGB3
COASY
COCH
COL11A1
COL11A2
COL12A1
COL13A1
COL17A1
COL4A3
COL4A4
COL5A1
COL6A1
COL6A2
COL6A3
COL8A2
COLQ
COX6A1
CRYAA
CRYAB
CRYBA1
CRYBA2
CRYBA4
CRYBB1
CRYBB2
CRYBB3
CRYGB
CRYGC
CRYGD
CRYGS
CRYM
CSRP3
CST6
CYP4F22
DCTN1
DES
DGKE
DHTKD1
DIABLO
DIAPH1
DIAPH2
DIAPH3
DMD
DMXL2
DNAJB11
DNAJC6
DNM2
DNMBP
DOK7
DPAGT1
DSG2
DSTYK
DYNC1H1
DZIP1L
ECEL1
EDA
EDAR
EDARADD
EGR2
EIF4G1
EPHA2
ERBB4
ERCC6
ERF
EXOSC3
EXOSC8
EXOSC9
EYA4
EZH2
FANCM
FBN2
FBXO7
FGD4
FIG4
FIGLA
FKBP14
FKTN
FLCN
FLI1
FLT4
FMR1
FOXE3
FOXL2
FUS
FYCO1
GANAB
GARS1
GATA2
GATAD1
GBA
GCH1
GCNT2
GDAP1
GDF3
GDF6
GDF9
GFI1B
GFPT1
GIGYF2
GJA3
GJA8
GJB1
GJB2
GJB3
GJB6
GJC2
GLUD2
GNAL
GNAT2
GNB4
GP1BA
GP1BB
GP6
GP9
GPD1
GPD1L
GRHL2
GSDME
H19
HARS1
HCCS
HCN4
HFM1
HK1
HMGB3
HNRNPA1
HOMER2
HOXA2
HOXC13
HPCA
HRAS
HSF4
HSPB1
HSPB8
HTRA2
IFNG
IFT27
IFT74
IGHMBP2
IKBKG
IL36RN
INF2
IRS4
ITGA2B
ITGB3
ITGB4
JPH1
KARS1
KCND3
KCNE3
KCNQ1OT1
KCNQ4
KCTD17
KDF1
KIF1B
KIF5A
KITLG
KLF1
KMT2B
KREMEN1
KRT74
KRT85
LAMA3
LAMA4
LAMB3
LAMC2
LDB3
LEMD2
LIM2
LIPI
LIPN
LITAF
LMNA
LMX1A
LOX
LRP4
LRRK2
LRSAM1
LSS
LZTFL1
MAB21L2
MAF
MAPT
MARS1
MATR3
MCM2
MCM8
MECR
MFAP5
MFN2
MFRP
MIP
MIR96
MKKS
MKS1
MME
MORC2
MPV17
MPZ
MSH5
MSX1
MSX2
MTMR2
MUC5B
MUSK
MUTYH
MYBPC1
MYBPC3
MYH11
MYH14
MYH3
MYH6
MYH7
MYH8
MYH9
MYLK
MYO6
MYO7A
MYO9A
MYPN
NAA10
NAGLU
NBEAL2
NCSTN
NDRG1
NECTIN4
NEFH
NEFL
NEK1
NEXN
NFKBIA
NHS
NIPAL4
NKX2-5
NLRP3
NOBOX
NR0B1
NR5A1
NRIP1
OPN1LW
OPN1MW
OPTN
OSBPL2
OTOF
OTX2
OVOL2
P2RX2
P2RY12
PARK7
PAX8
PBX1
PCLO
PDE1C
PDE6C
PDE6H
PDK3
PFN1
PIEZO1
PIEZO2
PINK1
PITX3
PKD1
PKD2
PKHD1
PLA2G6
PLAU
PLEKHG5
PLN
PLOD1
PLS1
PMP2
PMP22
PNKD
PNKP
PNPLA1
POF1B
POU4F3
PRDM16
PREPL
PRKACG
PRKG1
PRKN
PRKRA
PRPH
PRPS1
PRRT2
PRSS56
PRX
PSEN1
PSEN2
PTPRQ
RAB7A
RAF1
RAPSN
RARB
RARS2
RASGRP2
RAX
RBM20
RBP4
REST
RGS9
RGS9BP
RPGR
RPL11
RPL15
RPL18
RPL26
RPL27
RPL35
RPL35A
RPL5
RPS10
RPS15A
RPS17
RPS19
RPS24
RPS26
RPS27
RPS28
RPS29
RPS7
RYR2
SBF1
SBF2
SCN1B
SCN3B
SCN4A
SCN5A
SDCCAG8
SDHA
SDR9C7
SEC23B
SEMA3E
SEPSECS
SETX
SFTPA2
SGCD
SGCE
SH3TC2
SHH
SIGMAR1
SIPA1L3
SIX1
SLC16A12
SLC17A8
SLC18A2
SLC18A3
SLC25A1
SLC2A1
SLC44A4
SLC4A1
SLC4A4
SLC5A7
SLC6A3
SLFN14
SMAD6
SNAP25
SNCA
SOD1
SOX2
SPG11
SQSTM1
ST14
STAG3
STRA6
SULT2B1
SURF1
SYCE1
SYNJ1
SYT2
TAF1
TARDBP
TBC1D23
TBC1D24
TBK1
TBL1X
TBP
TBX18
TBXA2R
TCF12
TDRD7
TECRL
TECTA
TENM3
TGFB3
TGFBR1
TGFBR2
TGM1
THAP1
THBD
THRA
TMC1
TMEM67
TNC
TNNC1
TNNI2
TNNI3
TNNT2
TNNT3
TOE1
TOR1A
TPM1
TPM2
TRDN
TRHR
TRIM2
TRIM32
TRPV4
TRRAP
TSC1
TSC2
TSEN15
TSEN2
TSEN34
TSEN54
TSHB
TSHR
TSPEAR
TSR2
TTC8
TTN
TUBA4A
TUBB4A
TWIST1
UBQLN2
UCHL1
UNC45B
VAMP1
VAPB
VAX1
VCL
VCP
VEGFC
VIM
VIPAS39
VPS13C
VPS33B
VPS35
VPS51
VPS53
VRK1
VSX2
WDPCP
WFS1
YARS1
ZEB1
ZIC1
